File	Creator	Issue	Volume	Journal	ISSN	ID	Citation	Title	Place Labe	Language	Publisher	Date
History_1a-rdf.tsv	Matray, J. I.	3	54	JOURNAL OF ASIAN STUDIES -ANN ARBOR-	0021-9118	(Uk)RN001608150	JOURNAL OF ASIAN STUDIES -ANN ARBOR- 54(3), 907-908. (1995)	Simpson, Dieu Bien Phu: The Epic Battle America Forgot	xxu	eng	PRINCETON UNIVERSITY PRESS	1995
History_1a-rdf.tsv	Zissu, E. M.	4	64	PACIFIC HISTORICAL REVIEW	0030-8684	(Uk)RN001616444	PACIFIC HISTORICAL REVIEW 64(4), 537-566. (1995)	Conscription, Sovereignty, and Land: American Indian Resistance during Word War I	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	Hutchinson, D. L.	1	6	INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY	1047-482X	(Uk)RN001631792	INTERNATIONAL JOURNAL OF OSTEOARCHAEOLOGY 6(1), 51-65. (1996)	Brief Encounters: Tatham Mound and the Evidence for Spanish and Native American Confrontation	xxk	eng	WILEY	1996
History_1a-rdf.tsv	Waldman, A.	01-Feb	28	WASHINGTON MONTHLY	0043-0633	(Uk)RN001634203	WASHINGTON MONTHLY 28(1/2), 43-47. (1996)	The Oprah-fication of American Journalism	xxu	eng	WASHINGTON MONTHLY COMPANY	1996
History_1a-rdf.tsv	Kazin, M.	5	100	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN001715239	AMERICAN HISTORICAL REVIEW 100(5), 1488-1512. (1995)	The Agony and Romance of the American Left	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	Young, M.	5	100	AMERICAN HISTORICAL REVIEW	0002-8762	(Uk)RN001715252	AMERICAN HISTORICAL REVIEW 100(5), 1515-1516. (1995)	Gar Alperovitz, The Decision to Use the Atomic Bomb and the Architecture of an American Myth	xxu	eng	AMERICAN HISTORICAL ASSOCIATION	1995
History_1a-rdf.tsv	Jelavich, P.	1	28	CENTRAL EUROPEAN HISTORY	0008-9389	(Uk)RN001764070	CENTRAL EUROPEAN HISTORY 28(1), 105-17. (1995)	Thomas J. Saunders. Hollywood in Berlin. American Cinema and Weimar Germany	xxu	eng	HUMANITIES PRESS INTERNATIONAL, INC.	1995
History_1a-rdf.tsv	Radziloeski, T. C.	3	54	SLAVIC REVIEW	0037-6779	(Uk)RN001785278	SLAVIC REVIEW 54(3), 817-818. (1995)	Josephine Wtulich, American Xenophobia and the Slav Immigrant: A Living Legacy of Mind and Spirit; Susan Wiley Hardwick, Russian Refuge	xxu	eng	AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SLAVIC STUDIES, INC.	1995
History_1a-rdf.tsv	Lawson, P. E.	2	19	AMERICAN INDIAN QUARTERLY	0095-182X	(Uk)RN001788991	AMERICAN INDIAN QUARTERLY 19(2), 229-236. (1995)	When States' Attorneys General Write Books on Native American Law: A Case Study of Spaeth's American Indian Law Deskbook	xxu	eng	UNIVERSITY OF NEBRASKA PRESS	1995
History_1a-rdf.tsv	Cook, S. R.	2	19	AMERICAN INDIAN QUARTERLY	0095-182X	(Uk)RN001789016	AMERICAN INDIAN QUARTERLY 19(2), 240-241. (1995)	David E. Stannard: American Holocaust: The Conquest of the New World	xxu	eng	UNIVERSITY OF NEBRASKA PRESS	1995
